neuron,mean_still,mean_move,cohen_d,pval,auc,label,p_adj,sig,unit_name
99,0.9521243210969011,4.452692610617262,-0.7580946389474649,3.877074996091407e-234,0.2537802244051568,suppressed,4.337477651877261e-233,True,<HDF5 object reference>
100,8.839160865744118,9.710239431774541,-0.11265285869062042,0.0029446190329506638,0.44695943872406463,,0.0032336613920133056,True,<HDF5 object reference>
101,0.671627332324815,4.4257988575077,-0.8797404174132921,0.0,0.20890017945398057,suppressed,0.0,True,<HDF5 object reference>
102,10.888159070883189,11.317838220618928,-0.0613084500653724,0.07332133982732476,0.4919526653592441,,0.07765988064550966,False,<HDF5 object reference>
103,6.245278624359853,12.424272967372184,-0.9180931329439135,2.2420667427113076e-166,0.2612110878593829,suppressed,1.1466569912723545e-165,True,<HDF5 object reference>
104,21.957776220667974,21.9671904170903,-0.0012028828455441039,0.9724500520781856,0.49956871859920676,,0.9779132546179508,False,<HDF5 object reference>
105,18.993313916700124,28.96784991952245,-0.9121374538548637,1.2176032357492764e-153,0.2688101894203987,suppressed,5.315877541441963e-153,True,<HDF5 object reference>
106,3.682630212760088,3.680593230888913,0.0004722714528329824,0.9899807567942482,0.4869668989241529,,0.9899807567942482,False,<HDF5 object reference>
107,1.8031429052322057,3.3956082374085983,-0.4648798455677897,9.657637507447713e-49,0.35240914776895443,suppressed,1.8007469935761884e-48,True,<HDF5 object reference>
108,0.8433754852055567,3.266204881475849,-0.7137481903912494,1.2315513172076032e-154,0.26800545960970223,suppressed,5.511192144504025e-154,True,<HDF5 object reference>
109,2.211544998907614,2.7925351795695557,-0.17373121796369953,7.281212551611266e-07,0.4304880329914745,,8.574585833805372e-07,True,<HDF5 object reference>
110,0.4124207151052424,2.230601341206815,-0.6637303443760559,7.877779071056117e-177,0.27300927373746525,suppressed,4.548782108771112e-176,True,<HDF5 object reference>
111,1.992409044419159,2.1865113054091934,-0.062224997830442226,0.07899262499694358,0.4683777389382988,,0.08317458749678178,False,<HDF5 object reference>
112,18.127956745684696,23.6778191624861,-0.6389804205854911,6.401936371338439e-67,0.3275484876471946,suppressed,1.3642221553209293e-66,True,<HDF5 object reference>
113,3.3540061583800775,3.540447364054476,-0.04413619165639896,0.22031304669207405,0.4792505604283514,,0.22795396160625003,False,<HDF5 object reference>
114,6.268426623357532,9.375602803483467,-0.5223414608777377,9.019483273917032e-57,0.36309663333810704,suppressed,1.7548777239469006e-56,True,<HDF5 object reference>
115,20.040683808710373,15.993656764668597,0.4085047669873568,3.6541058609910093e-32,0.6344329151919192,stopping,5.450707909311589e-32,True,<HDF5 object reference>
116,0.4691695967978746,0.535094725151794,-0.04536539871796914,0.18677594445263065,0.4946910556511929,,0.1943772910291912,False,<HDF5 object reference>
117,14.961950398862102,12.332533432515524,0.2920124026698848,3.7925160766956235e-14,0.5827680703436223,,4.991620424474387e-14,True,<HDF5 object reference>
118,0.879718365939739,1.9558501206942742,-0.43245407843177375,6.821545858072822e-45,0.3416521383958451,suppressed,1.1740929890336876e-44,True,<HDF5 object reference>
119,4.7339528616231625,7.537097508619124,-0.44884782710473453,7.94321539267643e-43,0.3712334757664058,suppressed,1.3541291002753151e-42,True,<HDF5 object reference>
120,0.8486376874411972,1.5198323843755168,-0.294003983498187,3.7602780807725926e-20,0.39544946061511216,,5.2585138785804223e-20,True,<HDF5 object reference>
121,8.667120207980068,11.63828936941213,-0.3545848729537918,5.9266921518437474e-27,0.4106478098723071,suppressed,8.695720452295335e-27,True,<HDF5 object reference>
122,5.0082460307991115,7.33969410272851,-0.4269537973742986,6.063726994786825e-39,0.3854554229297762,suppressed,9.867337564244015e-39,True,<HDF5 object reference>
123,7.402105488604735,14.045498248903387,-0.6481907152106965,7.267210699584731e-97,0.34111907385378887,suppressed,1.7344409536342225e-96,True,<HDF5 object reference>
124,10.480325705219634,9.868097303906517,0.09594593504358415,0.00902415441930264,0.528027445645026,,0.009740795972230034,True,<HDF5 object reference>
125,2.595329371791524,4.652848060279653,-0.48234297875855436,3.784057501096973e-51,0.3526416488138208,suppressed,7.205811624429342e-51,True,<HDF5 object reference>
126,3.9722926780809193,8.56755880768391,-0.7234782383530471,6.894768329975746e-120,0.2960037878234337,suppressed,2.0918025950265398e-119,True,<HDF5 object reference>
127,4.621182188836323,7.9309709692230035,-0.5384702732927934,9.586221603996636e-69,0.3631155578417589,suppressed,2.0673899603799973e-68,True,<HDF5 object reference>
128,1.0679113268817144,1.8128809773587766,-0.25420193428791377,1.5098380981036412e-19,0.3957656605747788,,2.078930919696552e-19,True,<HDF5 object reference>
129,9.730408795787998,12.99139789028674,-0.46115898378955156,8.900586447976298e-42,0.3767112792964468,suppressed,1.4889766113904275e-41,True,<HDF5 object reference>
